gene,rna_lfc,rna_p,prot_lfc,prot_p,gwas_p,concordant,gwas_p_floored,transcriptomic,proteomic,genomic,score
FNIP1,-1.4,0.00514,-0.010913942,1.0,4e-07,True,4e-07,1.4,0.010913942,6.3979400086720375,2.602951316890679
ACSL6,1.04,0.0176,-0.028637547,0.017254021,2e-07,False,2e-07,1.04,0.028637547,6.698970004336019,2.589202517112006
LAMA1,1.49,0.0411,0.055341284,0.096768568,6e-07,True,6e-07,1.49,0.055341284,6.221848749616356,2.589063344538785
LCP1,-1.72,0.0465,0.045161173,0.038432002,1e-06,False,1e-06,1.72,0.045161173,6.0,2.5883870576666665
PRKG1,-2.25,0.0241,0.109331192,3.61e-09,4e-06,False,4e-06,2.25,0.109331192,5.3979400086720375,2.585757066890679
RAD23B,0.741,0.118,-0.003058809,1.0,1e-07,False,1e-07,0.741,0.003058809,7.0,2.581352936333333
LRP1B,-0.722,0.0506,0.012012378,0.642648924,1e-07,False,1e-07,0.722,0.012012378,7.0,2.5780041259999997
ERVK13-1,-1.47,0.138,0.040470228,0.552919562,6e-07,False,6e-07,1.47,0.040470228,6.221848749616356,2.5774396592054516
COL12A1,-0.555,0.671,-0.017493295,1.0,7e-08,True,7e-08,0.555,0.017493295,7.154901959985743,2.575798418328581
MSRA,0.535,0.262,0.035675115,0.014212997,7e-08,True,7e-08,0.535,0.035675115,7.154901959985743,2.575192358328581
SLMAP,-2.0,0.0455,0.006334222,0.946086322,2e-06,False,2e-06,2.0,0.006334222,5.698970004336019,2.5684347421120064
MYO1C,-0.367,0.443,-0.033298094,0.017169121,5e-08,True,5e-08,0.367,0.033298094,7.301029995663981,2.567109363221327
KCNN3,-1.93,0.0221,0.068839673,0.000130788,2e-06,False,2e-06,1.93,0.068839673,5.698970004336019,2.5659365591120062
BCAR3,-0.437,0.33,0.021128917,0.218369136,6e-08,False,6e-08,0.437,0.021128917,7.221848749616356,2.559992555538785
NCS1,-1.49,0.00207,-0.027515424,0.067231952,7e-07,True,7e-07,1.49,0.027515424,6.154901959985743,2.557472461328581
JPH3,-2.12,0.00813,0.00328794,1.0,3e-06,False,3e-06,2.12,0.00328794,5.522878745280337,2.548722228426779
TOP1,-2.23,4.22e-05,0.015365426,0.344267769,4e-06,False,4e-06,2.23,0.015365426,5.3979400086720375,2.5477684782240124
TMUB2,0.2,0.677,-0.024330999,0.493672642,4e-08,False,4e-08,0.2,0.024330999,7.3979400086720375,2.5407570025573456
KAZN,-1.29,0.0116,-0.026199706,0.018371004,5e-07,True,5e-07,1.29,0.026199706,6.301029995663981,2.539076567221327
PITPNA,1.39,0.0031,-0.044622311,3.11e-07,7e-07,False,7e-07,1.39,0.044622311,6.154901959985743,2.5298414236619142
LINGO1,-0.794,0.0469,-0.063341241,3.15e-07,2e-07,True,2e-07,0.794,0.063341241,6.698970004336019,2.518770415112006
GOLIM4,-1.24,0.0483,-0.010795908,1.0,5e-07,True,5e-07,1.24,0.010795908,6.301029995663981,2.5172753012213267
MAP7D3,-1.47,0.0271,-0.079220651,0.027529494,1e-06,True,1e-06,1.47,0.079220651,6.0,2.516406883666667
WNK3,1.54,0.0872,-0.001542091,0.865637217,1e-06,False,1e-06,1.54,0.001542091,6.0,2.5138473636666667
ZBTB20,-1.82,0.00257,0.022147404,0.884495879,2e-06,False,2e-06,1.82,0.022147404,5.698970004336019,2.5137058027786727
POLG,-0.486,0.0756,-0.036632262,0.668934936,1e-07,True,1e-07,0.486,0.036632262,7.0,2.507544087333333
DOCK10,1.49,0.0171,0.024145598,0.122977205,1e-06,True,1e-06,1.49,0.024145598,6.0,2.5047151993333334
